space_invaders	Monochrome Invader (1978)	1978	Monochrome arcade	6	—	scanlines 0.4, curve 0.01	neutral	Subtle CRT phosphor		1
asteroids	Vector Wireframe (1979)	1979	Vector wireframe	6	0.6×	—	green tint (0.85 / 1.0 / 0.85)	Glow on geometry		1
galaga	Arcade Formation (1981)	1981	Fixed-formation arcade	6	0.5×	—	neutral	Soft bloom on projectiles		1
rtype	Biomech Cruiser (1987)	1987	Biomechanical sci-fi	6	0.7×	—	neutral	Neutral bloom		0
blazing_lazers	16-Bit Laser (1989)	1989	16-bit console shooter	6	0.8×	—	warm (1.0 / 0.95 / 0.9)	Subtle warm glow		0
tyrian_dos	Retro PC Pixel (1995)	1995	DOS-era pixel art	6	—	scanlines 0.7, curve 0.02	warm (1.0 / 0.95 / 0.85)	Faithful retro feel		1
ikaruga	Dual-Polarity (2001)	2001	Two-polarity shooter	6	0.8×	—	cool blue (0.9 / 0.95 / 1.0)	Matches the polarity palette		0
geometry_wars	Neon Grid (2003)	2003	Neon vector grid	6	1.5×	—	cyan tint (0.8 / 1.0 / 1.0)	Strongest bloom preset		0
gradius_v	Chrome Fleet (2004)	2004	Chrome fleet shmup	6	0.6×	—	cool blue (0.9 / 0.95 / 1.0)	Clean, high-contrast		0
luftrausers	Sepia Dogfight (2014)	2014	Sepia dogfight	6	—	—	warm yellow (1.0 / 0.9 / 0.7)	No bloom — flat palette		0
nuclear_throne	Wasteland Pixel (2015)	2015	Post-apocalyptic	6	—	—	desaturated warm	Saturation 0.85, orange tint		1
nex_machina	Neon Voxel (2017)	2017	Dark neon voxel	6	1.0×	—	neutral	High-contrast neon		0
river_raid	8-Bit Canyon (1982)	1982	4-colour console era	6	—	—	neutral	Ultra-chunky flat sprites		1
default	Kiran (2026)	2026	Kirian original	1	—	—	neutral	Hand-crafted baseline		1
