vanguard	Orbitron Vanguard	Šedobílé trupy akademie, tyrkysový tah	Výchozí flotila — s ní se začíná a proti ní se létá ve všech režimech kromě jednoho hráče.	1
solar_crusade	Solar Crusade	Zlatý a mosazný pancíř, oranžový žár	Křižácké trupy s ostrým kýlem a rozžhavenými tryskami.	0
void_hive	Void Hive	Chitinový úl, jedovatě zelená luminiscence	Organické trupy bez jediné rovné hrany — roj, ne loďstvo.	0
neon_runners	Neon Runners	Purpurová a azurová neonová grafika	Lehké závodní kluzáky; nejméně pancíře a nejvíc světla na palubě.	0
iron_armada	Iron Armada	Průmyslová ocel s oranžovým značením	Těžké nýtované trupy, které vypadají, že je někdo svařil v doku.	0
crystal_choir	Crystal Choir	Bílý porcelán a fialové krystaly	Křehce vypadající katedrální lodě s krystalickými nástavbami.	0
ronin_blades	Ronin Blades	Bílá, lakovaná červeň a čepele	Samurajská estetika — každý trup je v podstatě tasený meč.	0
atomic_age	Atomic Age	Retro rakety padesátých let, ploutve a červené špičky	Pocta obálkám starých sci-fi časopisů. Nýty, ploutve, žádná aerodynamika.	0
abyssal_tide	Abyssal Tide	Hlubinné siluety, tyrkysová bioluminiscence	Manty a rejnoci — nejširší rozpětí křídel ze všech flotil.	0
star_nomads	Star Nomads	Oranžové karavany a nákladní moduly	Poslepované trupy s připoutaným nákladem; nomádi, ne armáda.	0
